team,date,elo,display_name,display_country
caps-united-fc-zimbabwe,2005-02-01,968.92033074807,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-03-01,985.233623880541,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-04-05,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-05-03,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-06-07,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-07-05,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-08-02,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2005-09-06,965.539465146273,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-03-07,964.218664715308,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-04-04,974.122735442793,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-05-02,973.793910339062,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-06-06,978.533943958034,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-07-04,978.250099819862,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-08-01,968.120392224663,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-09-05,963.250827196831,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-10-03,968.525781049522,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-11-07,963.228180975719,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2006-12-05,973.422911862274,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-01-02,982.565962406336,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-02-06,982.565962406336,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-03-06,982.319137012914,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-04-03,991.631089541517,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-05-01,990.605151649993,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-06-05,1000.93558370412,Caps United,Zimbabwe
caps-united-fc-zimbabwe,2007-07-03,1004.7725749222,Caps United,Zimbabwe
